Registrant,Money,Foreign_Agency,Num_Reg,Year,Country,Year2,
"Alston & Bird, LLP ",100000.00,Taipei Economic and Cultural Representative Office in the United States (TECRO) ,5549,201101,Taiwan,2011,
"Alston & Bird, LLP ",120000.00,Taipei Economic and Cultural Representative Office in the United States (TECRO) ,5549,201102,Taiwan,2011,
"Alston & Bird, LLP ",120000.00,Taipei Economic and Cultural Representative Office in the United States (TECRO) ,5549,201201,Taiwan,2012,
"Alston & Bird, LLP ",120000.00,Taipei Economic and Cultural Representative Office in the United States (TECRO) ,5549,201202,Taiwan,2012,
"Alston & Bird, LLP ",120000.00,Taipei Economic and Cultural Representative Office in the United States (TECRO) ,5549,201301,Taiwan,2013,
"Alston & Bird, LLP ",100000.00,Taipei Economic and Cultural Representative Office in the United States (TECRO) ,5549,201302,Taiwan,2013,
"Alston & Bird, LLP ",140000.00,Taipei Economic and Cultural Representative Office in the United States (TECRO) ,5549,201401,Taiwan,2014,
"Alston & Bird, LLP ",80000.00,Taipei Economic and Cultural Representative Office in the United States (TECRO) ,5549,201402,Taiwan,2014,
"Alston & Bird, LLP ",160000.00,Taipei Economic and Cultural Representative Office in the United States (TECRO) ,5549,201501,Taiwan,2015,
"Alston & Bird, LLP ",120000.00,Taipei Economic and Cultural Representative Office in the United States (TECRO) ,5549,201502,Taiwan,2015,
"Alston & Bird, LLP ",60000.00,Taipei Economic and Cultural Representative Office in the United States (TECRO) ,5549,201601,Taiwan,2016,
"Alston & Bird, LLP ",140000.00,Taipei Economic and Cultural Representative Office in the United States (TECRO) ,5549,201602,Taiwan,2016,
"Alston & Bird, LLP ",150000.00,Taipei Economic and Cultural Representative Office in the United States (TECRO) ,5549,201701,Taiwan,2017,
"Alston & Bird, LLP ",125000.00,Taipei Economic and Cultural Representative Office in the United States (TECRO) ,5549,201702,Taiwan,2017,
"Capitol Hill Strategies, LLC ",90000.00,Taipei Economic and Cultural Representative Office in the United States (TECRO) ,6009,201101,Taiwan,2011,
"Capitol Hill Strategies, LLC ",84000.00,Taipei Economic and Cultural Representative Office in the United States (TECRO) ,6009,201102,Taiwan,2011,
