COUNTRY,WB COUNTRY CODE,YEAR,WB REGION,WB INCOME GROUP,DEPOSIT MONEY BANK ASSETS to (DEPOSIT MONEY + CENTRAL) BANK ASSETS (%),LIQUID LIABILITIES to GDP (%),CENTRAL BANK ASSETS to GDP (%),DEPOSIT MONEY BANK ASSETS to GDP (%),OTHER FINANCIAL INSTITUTIONS ASSETS to GDP (%),PRIVATE CREDIT BY DEPOSIT MONEY BANKS to GDP (%),PRIVATE CREDIT BY DEPOSIT MONEY BANKS AND OTHER FINANCIAL INSTITUTIONS to GDP (%),BANK DEPOSITS to GDP (%),FINANCIAL SYSTEM DEPOSITS to GDP (%),BANK CREDIT to BANK DEPOSITS (%),LIQUID LIABILITIES (IN MIL. 2010 USD),BANK OVERHEAD COSTS to TOTAL ASSETS (%),NET INTEREST MARGIN (%),BANK CONCENTRATION (%),BANK ROA,BANK ROE,BANK COST to INCOME RATIO (%),BANK Z-SCORE,LIFE INSURANCE PREMIUM VOLUME to GDP (%),NON-LIFE INSURANCE PREMIUM VOLUME to GDP (%),STOCK MARKET CAPITALIZATION to GDP (%),STOCK MARKET TOTAL VALUE TRADED to GDP (%),STOCK MARKET TURNOVER RATIO (%),NO. OF LISTED COMPANIES PER 10K POPULATION,PRIVATE BOND MARKET CAPITALIZATION to GDP (%),PUBLIC BOND MARKET CAPITALIZATION to GDP (%),INTERNATIONAL DEBT ISSUES to GDP (%),LOANS FROM NON-RESIDENT BANKS (NET) to GDP (%),LOANS FROM NON-RESIDENT BANKS (AMT OUTSTANDING) to GDP (%),OFFSHORE BANK DEPOSITS to DOMESTIC BANK DEPOSITS (%),REMITTANCE INFLOWS to GDP (%)
Cambodia,KHM,1993,East Asia & Pacific,Lower middle income,43.82081,5.002818,3.153419,2.459725,,2.36548,2.36548,2.121647,2.121647,111.4926,217.4832,,,,,,,,,,,,,,,,,,,,0.3749416
Cambodia,KHM,1994,East Asia & Pacific,Lower middle income,52.47509,6.353986,3.060328,3.379091,,3.294614,3.294614,3.813508,3.813508,86.39327,257.0291,,,,,,,,,,,,,,,,,,,,0.4048097
Cambodia,KHM,1995,East Asia & Pacific,Lower middle income,55.3438,6.434044,2.543158,3.151813,,3.085004,3.085004,3.910013,3.910013,78.9001,366.9211,,,,,,,,,,,,,,,,,,0.8717875,13.37777,0.3370911
Cambodia,KHM,1996,East Asia & Pacific,Lower middle income,62.9529,8.441751,2.349309,3.992104,,3.932508,3.932508,5.449796,5.449796,72.15882,464.3641,,,,,,,,,,,,,,,,,,0.5988544,12.55836,0.3307957
Cambodia,KHM,1997,East Asia & Pacific,Lower middle income,71.65245,9.582483,2.069372,5.230631,,5.173531,5.173531,6.400593,6.400593,80.82893,418.3831,,,,,,,,,0.1161619,,,,,,,,,0.9583514,12.70424,0.3397791
Cambodia,KHM,1998,East Asia & Pacific,Lower middle income,72.46364,9.940514,2.155838,5.673221,,5.619201,5.619201,6.214346,6.214346,90.42303,436.3221,,,,,,,,0.0143766,0.0814676,,,,,,,,,1.089595,19.59631,2.313787
Cambodia,KHM,1999,East Asia & Pacific,Lower middle income,71.51107,9.97576,2.13305,5.354243,,5.292222,5.292222,6.248122,6.248122,84.701,498.299,,,,,,,,0.0199272,0.0797089,,,,,,,,,1.194117,19.56666,2.342744
Cambodia,KHM,2000,East Asia & Pacific,Lower middle income,75.1247,11.59274,1.964198,5.931979,,5.884675,5.884675,8.107455,8.107455,72.5835,590.4729,,,,,,47.93935,16.44052,,,,,,,,,,,1.122048,13.07918,2.789637
Cambodia,KHM,2001,East Asia & Pacific,Lower middle income,77.25424,12.87174,1.73107,5.879447,,5.849102,5.849102,9.444903,9.444903,61.92865,702.5883,7.939881,11.01967,,-2.815592,-14.68314,65.07619,10.24399,,,,,,,,,,,1.206087,13.81931,2.831325
Cambodia,KHM,2002,East Asia & Pacific,Lower middle income,79.07503,15.33194,1.628725,6.154916,,6.007736,6.007736,11.27325,11.27325,53.29198,891.6255,4.201877,6.459362,92.59236,2.595951,16.32993,48.18339,12.84668,,,,,,,,,,,1.003728,10.35306,2.871129
