Org,Topic,Year
Brookings,Alliance,45
Brookings,Economy,69
Brookings,Energy,4
Brookings,Environment,9
Brookings,Japanese Politics,12
Brookings,Security,19
Brookings,Women,5
CSIS,Alliance,57
CSIS,Cybersecurity and Technology,11
CSIS,Economy,31
CSIS,Energy,1
CSIS,History,4
CSIS,Security,93
Carnegie,Alliance,125
Carnegie,Cybersecurity and Technology,6
Carnegie,Economy,17
Carnegie,Energy,9
Carnegie,History,2
Carnegie,Japanese Politics,6
Carnegie,Security,80
Sasakawa,Alliance,211
Sasakawa,Cybersecurity and Technology,4
Sasakawa,Economy,21
Sasakawa,Education,4
Sasakawa,Energy,48
Sasakawa,Environment,23
Sasakawa,History,7
Sasakawa,Japanese Politics,17
Sasakawa,Security,192
Sasakawa,Women,7
Wilson,Alliance,49
Wilson,Cybersecurity and Technology,4
Wilson,Economy,30
Wilson,Energy,6
Wilson,History,4
Wilson,Japanese Politics,9
Wilson,Security,11
Wilson,Social Issues,6
Wilson,Women,4
