Country Name,Country Code,Series Name,Series Code,1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
Cambodia,KHM,5-bank asset concentration,GFDD.OI.06,..,..,..,..,..,..,..,..,..,..,89.7424,86.1458,83.7582,84.6551,87.2082,86.59,80.2172,76.2918,73.0994,69.9584,67.4404,68.0114,51.9974,49.2856,55.6219
Cambodia,KHM,Account at a formal financial institution (% age 15+),GFDD.AI.05,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.65971,..,..,12.5565,..,..,17.8022
Cambodia,KHM,Account used for business purposes (% age 15+),GFDD.AI.08,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.213046,..,..,..,..,..,..
Cambodia,KHM,Account used to receive government payments (% age 15+),GFDD.AI.09,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cambodia,KHM,Account used to receive remittances (% age 15+),GFDD.AI.10,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.83555,..,..,6.68169
Cambodia,KHM,Account used to receive wages (% age 15+),GFDD.AI.11,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.29101,..,..,3.01959
Cambodia,KHM,"ATMs per 100,000 adults",GFDD.AI.25,..,..,..,..,..,..,..,..,..,..,..,..,0.011971,0.74478,1.33586,3.72433,4.35922,5.25023,6.02811,7.17608,8.47912,10.9162,13.3379,14.4863,16.7244
Cambodia,KHM,"Bank accounts per 1,000 adults",GFDD.AI.01,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cambodia,KHM,"Bank branches per 100,000 adults",GFDD.AI.02,..,..,..,..,..,..,..,..,..,..,..,..,..,2.32744,3.03399,3.14034,3.96195,4.11844,4.27504,4.49006,4.7738,5.69335,6.12264,7.23853,7.51688
Cambodia,KHM,Bank capital to total assets (%),GFDD.SI.03,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,20.1217,17.3259,16.2146,16.7547,14.3532,14.229,14.2526,13.9688
Cambodia,KHM,Bank concentration (%),GFDD.OI.01,..,..,..,..,..,..,..,..,..,92.5924,64.6083,61.9125,60.6137,59.8951,70.2463,72.1943,68.0625,64.8854,56.8501,55.0486,53.27,54.8702,41.916,40.184,44.7617
Cambodia,KHM,Bank cost to income ratio (%),GFDD.EI.07,..,..,..,..,..,..,..,47.9393,65.0762,48.1834,47.0821,47.9263,44.057,38.2906,39.1603,40.3267,54.1371,52.5783,48.8056,47.9206,46.8979,46.8683,44.0049,44.7793,43.2364
Cambodia,KHM,Bank credit to bank deposits (%),GFDD.SI.04,111.493,86.3933,78.9001,72.1588,80.8289,90.423,84.701,72.5835,61.9287,53.292,52.7237,58.3047,61.7011,64.9341,67.8646,84.9902,90.3648,79.7431,83.9405,89.4832,98.7578,106.501,111.518,115.23,111.882
Cambodia,KHM,Bank deposits to GDP (%),GFDD.OI.02,2.12165,3.81351,3.91001,5.4498,6.40059,6.21435,6.24812,8.10746,9.4449,11.2732,12.2948,13.1349,13.3405,15.1952,20.4869,24.7244,26.3241,31.3689,32.0963,36.3497,44.2836,52.0176,59.1081,64.4099,71.6104
Cambodia,KHM,Bank lending-deposit spread,GFDD.EI.02,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cambodia,KHM,Bank net interest margin (%),GFDD.EI.01,..,..,..,..,..,..,..,..,11.0197,6.45936,5.03488,4.86502,6.89944,7.54874,7.55068,8.4191,6.76293,6.5752,6.82296,6.56778,6.22741,5.93611,6.58834,6.14818,5.53511
Cambodia,KHM,Bank noninterest income to total income (%),GFDD.EI.03,..,..,..,..,..,..,..,23.0949,22.2605,34.3436,32.8293,32.162,27.6445,23.5893,21.3185,19.8039,22.7851,22.8647,24.5343,21.2068,20.5485,21.6675,18.1854,17.1274,19.4667
Cambodia,KHM,Bank non-performing loans to gross loans (%),GFDD.SI.02,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.14188,2.29439,2.22469,2.30268,1.62134,1.59274,2.13063,2.07248
Cambodia,KHM,Bank overhead costs to total assets (%),GFDD.EI.04,..,..,..,..,..,..,..,..,7.93988,4.20188,3.12917,2.96507,3.52029,3.22749,3.19662,3.50388,3.55273,3.15086,3.17929,3.02124,2.90335,2.78774,2.62504,2.37219,2.0842
Cambodia,KHM,Bank regulatory capital to risk-weighted assets (%),GFDD.SI.05,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,30.4638,25.1545,24.2447,24.2311,20.4064,20.3087,20.8594,21.9112
Cambodia,KHM,"Bank return on assets (%, after tax)",GFDD.EI.05,..,..,..,..,..,..,..,..,-2.81559,2.59595,2.06078,1.89462,3.0309,3.88714,3.80223,3.27914,1.56033,1.52529,2.20415,2.3413,2.2143,2.17487,2.33764,1.92235,1.76425
Cambodia,KHM,"Bank return on assets (%, before tax)",GFDD.EI.09,..,..,..,..,..,..,..,..,-2.68942,3.84198,2.35334,2.36565,3.68336,4.73407,4.75876,4.17792,1.94342,2.01408,2.79366,2.93581,2.83109,2.7176,2.88615,2.42817,2.21861
Cambodia,KHM,"Bank return on equity (%, after tax)",GFDD.EI.06,..,..,..,..,..,..,..,..,-14.6831,16.3299,12.8282,12.2447,18.8786,22.5205,24.4249,20.2251,8.68851,8.12818,11.9049,13.3301,12.6321,12.7882,14.3438,11.9796,10.9686
Cambodia,KHM,"Bank return on equity (%, before tax)",GFDD.EI.10,..,..,..,..,..,..,..,..,-14.0252,24.1681,14.6494,15.289,22.9426,27.4272,30.5695,25.7686,10.8217,10.7329,15.0889,16.7149,16.1507,15.9794,17.7094,15.1318,13.7934
Cambodia,KHM,Bank Z-score,GFDD.SI.01,..,..,..,..,..,..,..,16.4405,10.244,12.8467,13.0359,11.79,14.3123,15.0111,12.9496,14.6785,14.115,14.5761,14.3779,13.7924,14.2093,13.0951,13.1817,12.5862,12.7816
Cambodia,KHM,"Banking crisis dummy (1=banking crisis, 0=none)",GFDD.OI.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
