Date,Open,High,Low,Close,Adj Close,Volume
1984-10-01,0.000000,0.156250,0.140625,0.144531,0.105761,25030400
1984-11-01,0.000000,0.144531,0.121094,0.128906,0.094328,10204800
1984-12-01,0.000000,0.132813,0.117188,0.117188,0.085753,8460800
1985-01-01,0.000000,0.203125,0.121094,0.195313,0.142921,15328000
1985-02-01,0.000000,0.277344,0.195313,0.269531,0.197231,20419200
1985-03-01,0.000000,0.281250,0.234375,0.234375,0.171505,10515200
1985-04-01,0.000000,0.289063,0.183594,0.269531,0.197231,23760000
1985-05-01,0.000000,0.332031,0.269531,0.320313,0.234390,15494400
1985-06-01,0.000000,0.371094,0.328125,0.351563,0.257258,16995200
1985-07-01,0.000000,0.378906,0.328125,0.363281,0.265833,11088000
1985-08-01,0.000000,0.371094,0.289063,0.328125,0.240107,13907200
1985-09-01,0.000000,0.328125,0.242188,0.242188,0.177222,20899200
1985-10-01,0.000000,0.339844,0.242188,0.300781,0.220098,29081600
1985-11-01,0.000000,0.316406,0.281250,0.312500,0.228673,20131200
1985-12-01,0.000000,0.324219,0.285156,0.320313,0.234390,33152000
1986-01-01,0.000000,0.406250,0.296875,0.398438,0.291559,150361600
1986-02-01,0.000000,0.445313,0.386719,0.433594,0.317284,79449600
1986-03-01,0.000000,0.488281,0.414063,0.468750,0.343010,40144000
1986-04-01,0.000000,0.496094,0.421875,0.441406,0.323001,30406400
1986-05-01,0.000000,0.457031,0.367188,0.445313,0.325860,39059200
1986-06-01,0.000000,0.472656,0.355469,0.394531,0.288700,48480000
1986-07-01,0.000000,0.441406,0.347656,0.351563,0.257258,35801600
1986-08-01,0.000000,0.355469,0.285156,0.308594,0.225815,64665600
1986-09-01,0.000000,0.320313,0.269531,0.289063,0.211523,54512000
1986-10-01,0.000000,0.292969,0.234375,0.269531,0.197231,46243200
1986-11-01,0.000000,0.277344,0.253906,0.257813,0.188656,21926400
1986-12-01,0.000000,0.292969,0.250000,0.261719,0.191514,44803200
1987-01-01,0.000000,0.277344,0.203125,0.218750,0.160071,80489600
1987-02-01,0.000000,0.269531,0.218750,0.238281,0.174363,34198400
1987-03-01,0.000000,0.281250,0.218750,0.246094,0.180080,56057600
1987-04-01,0.000000,0.250000,0.140625,0.156250,0.114337,55945600
1987-05-01,0.000000,0.214844,0.144531,0.175781,0.128629,67558400
1987-06-01,0.000000,0.218750,0.175781,0.207031,0.151496,41001600
1987-07-01,0.000000,0.218750,0.171875,0.183594,0.134346,31347200
1987-08-01,0.000000,0.183594,0.140625,0.152344,0.111478,57401600
1987-09-01,0.000000,0.210938,0.152344,0.187500,0.137204,110329600
1987-10-01,0.000000,0.195313,0.089844,0.125000,0.091469,38681600
1987-11-01,0.000000,0.125000,0.082031,0.117188,0.085753,62457600
1987-12-01,0.000000,0.132813,0.089844,0.113281,0.082894,62752000
1988-01-01,0.000000,0.156250,0.109375,0.144531,0.105761,39552000
1988-02-01,0.000000,0.160156,0.128906,0.144531,0.105761,31417600
1988-03-01,0.000000,0.167969,0.125000,0.152344,0.111478,32224000
1988-04-01,0.000000,0.160156,0.136719,0.144531,0.105761,31120000
1988-05-01,0.000000,0.156250,0.136719,0.140625,0.102903,21068800
1988-06-01,0.000000,0.148438,0.113281,0.121094,0.088611,21100800
1988-07-01,0.000000,0.132813,0.117188,0.125000,0.091469,37644800
1988-08-01,0.000000,0.128906,0.113281,0.117188,0.085753,25481600
1988-09-01,0.000000,0.136719,0.113281,0.125000,0.091469,53408000
1988-10-01,0.000000,0.144531,0.121094,0.125000,0.091469,23913600
1988-11-01,0.000000,0.132813,0.121094,0.121094,0.088611,18220800
1988-12-01,0.000000,0.140625,0.121094,0.140625,0.102903,34976000
1989-01-01,0.000000,0.167969,0.128906,0.160156,0.117195,26835200
1989-02-01,0.000000,0.207031,0.152344,0.199219,0.145779,119750400
1989-03-01,0.000000,0.242188,0.195313,0.222656,0.162930,101536000
1989-04-01,0.000000,0.246094,0.210938,0.246094,0.180080,98691200
1989-05-01,0.000000,0.289063,0.238281,0.281250,0.205806,141280000
1989-06-01,0.000000,0.289063,0.265625,0.273438,0.200089,124355200
1989-07-01,0.000000,0.359375,0.269531,0.320313,0.234390,155100800
1989-08-01,0.000000,0.394531,0.300781,0.363281,0.265833,212864000
1989-09-01,0.000000,0.378906,0.328125,0.367188,0.268691,152668800
1989-10-01,0.000000,0.394531,0.308594,0.328125,0.240107,134854400
1989-11-01,0.000000,0.378906,0.335938,0.378906,0.277267,78940800
1989-12-01,0.000000,0.390625,0.308594,0.378906,0.277267,96688000
1990-01-01,0.000000,0.386719,0.246094,0.289063,0.211523,133852800
1990-02-01,0.000000,0.332031,0.273438,0.292969,0.214381,170153600
1990-03-01,0.296880,0.320313,0.281250,0.304690,0.222958,166611200
1990-04-01,0.300781,0.343750,0.292969,0.335938,0.245824,60252800
1990-05-01,0.339844,0.484375,0.339844,0.472656,0.345869,280899200
1990-06-01,0.476563,0.539063,0.437500,0.539063,0.394462,200806400
1990-07-01,0.531250,0.628906,0.507813,0.593750,0.434480,125977600
1990-08-01,0.597656,0.597656,0.460938,0.535156,0.391603,180876800
1990-09-01,0.527344,0.585938,0.449219,0.503906,0.393949,160195200
1990-10-01,0.523438,0.574219,0.410156,0.550781,0.430595,182819200
1990-11-01,0.554688,0.648438,0.531250,0.632813,0.494726,160118400
1990-12-01,0.632813,0.750000,0.609375,0.726563,0.568019,308611200
1991-01-01,0.726563,0.902344,0.625000,0.859375,0.671850,300249600
1991-02-01,0.863281,1.058594,0.843750,0.941406,0.735982,309603200
1991-03-01,0.945313,1.347656,0.925781,1.226563,0.958914,466124800
1991-04-01,1.226563,1.425781,1.156250,1.230469,0.961968,410451200
1991-05-01,1.234375,1.562500,1.226563,1.531250,1.197115,350630400
1991-06-01,1.527344,1.535156,1.339844,1.402344,1.119617,267027200
1991-07-01,1.414063,1.707031,1.414063,1.570313,1.253721,258972800
1991-08-01,1.570313,1.726563,1.453125,1.609375,1.284908,404416000
1991-09-01,1.625000,1.695313,1.257813,1.687500,1.347283,392185600
1991-10-01,1.687500,2.023438,1.593750,2.000000,1.596780,109683200
1991-11-01,2.000000,2.023438,1.816406,1.878906,1.500100,99696000
1991-12-01,1.875000,2.445313,1.859375,2.328125,1.858752,80220800
1992-01-01,2.320313,2.828125,2.296875,2.601563,2.077061,110688000
1992-02-01,2.593750,2.906250,2.265625,2.500000,1.995974,147510400
1992-03-01,2.496094,2.636719,2.312500,2.476563,1.977263,82092800
1992-04-01,2.457031,2.539063,2.140625,2.390625,1.908650,102009600
1992-05-01,2.445313,2.796875,2.265625,2.773438,2.243741,77033600
1992-06-01,2.742188,2.843750,2.359375,2.593750,2.098372,100496000
1992-07-01,2.585938,2.957031,2.585938,2.875000,2.325905,116832000
1992-08-01,2.882813,2.976563,2.640625,2.664063,2.155254,83033600
1992-09-01,2.648438,3.296875,2.632813,3.140625,2.540798,101500800
1992-10-01,3.125000,3.421875,2.796875,3.257813,2.635605,92852800
1992-11-01,3.250000,3.468750,3.125000,3.406250,2.755692,70174400
1992-12-01,3.406250,3.648438,3.375000,3.554688,2.875780,61252800
1993-01-01,3.515625,4.187500,3.421875,4.031250,3.261323,67299200
1993-02-01,4.062500,4.250000,2.500000,2.765625,2.237420,241523200
1993-03-01,2.781250,3.296875,2.781250,3.218750,2.604002,186875200
1993-04-01,3.218750,3.484375,2.843750,3.375000,2.759195,122232000
1993-05-01,3.375000,3.843750,3.375000,3.734375,3.052998,158814400
1993-06-01,3.718750,4.078125,3.382813,4.015625,3.282931,80622400
1993-07-01,4.015625,4.218750,3.726563,3.945313,3.225448,83972800
1993-08-01,3.945313,4.015625,3.250000,3.703125,3.027451,172225600
1993-09-01,3.703125,4.414063,3.398438,4.289063,3.506477,182552000
1993-10-01,4.203125,4.398438,4.031250,4.367188,3.570345,94308800
1993-11-01,4.335938,4.773438,4.304688,4.523438,3.698088,118779200
1993-12-01,4.531250,4.921875,4.531250,4.742188,3.876925,108180800
1994-01-01,4.726563,5.406250,4.679688,5.343750,4.368726,95168000
1994-02-01,5.343750,5.453125,5.039063,5.164063,4.221823,106961600
1994-03-01,5.187500,5.937500,5.054688,5.343750,4.368726,133620000
1994-04-01,5.218750,5.921875,4.656250,5.187500,4.263342,144468800
1994-05-01,5.250000,6.281250,5.250000,6.015625,4.943937,137884800
1994-06-01,6.000000,6.343750,5.500000,5.640625,4.635742,183413600
1994-07-01,5.687500,5.843750,5.218750,5.687500,4.674267,165564000
1994-08-01,5.718750,6.609375,5.453125,6.531250,5.367702,127606400
1994-09-01,6.531250,6.828125,6.312500,6.625000,5.444751,107546400
1994-10-01,6.593750,6.921875,6.312500,6.593750,5.419068,77084800
1994-11-01,6.578125,6.578125,5.828125,5.953125,4.892573,117350400
1994-12-01,5.843750,5.984375,5.078125,5.640625,4.635742,173082400
1995-01-01,5.625000,6.093750,5.296875,6.062500,4.982460,148430400
1995-02-01,6.062500,6.234375,5.218750,5.375000,4.417438,223668000
1995-03-01,5.406250,6.250000,5.218750,5.843750,4.802680,178282400
1995-04-01,5.828125,5.921875,4.500000,4.546875,3.755927,321711200
1995-05-01,4.500000,4.937500,4.265625,4.656250,3.846273,335750400
