Date,Open,High,Low,Close,Adj Close,Volume
2006-05-01,4.030000,4.674000,4.020000,4.494000,3.368875,578287000
2006-06-01,4.493000,5.063000,4.347000,4.800000,3.598264,480262000
2006-07-01,4.790000,4.800000,4.367000,4.587000,3.438591,173128000
2006-08-01,4.592000,5.617000,4.470000,5.590000,4.190480,266180000
2006-09-01,5.597000,7.045000,5.597000,7.035000,5.273707,403393000
2006-10-01,7.035000,7.625000,6.828000,7.410000,5.554821,409191000
2006-11-01,8.175000,10.860000,8.175000,10.175000,7.727468,1216112000
2006-12-01,10.222000,10.245000,9.050000,9.849000,7.479884,472847000
2007-01-01,9.955000,11.308000,9.530000,11.155000,8.471734,514292000
2007-02-01,11.214000,11.807000,9.861000,10.718000,8.209725,839376000
2007-03-01,10.527000,11.232000,9.928000,10.624000,8.137725,564205000
2007-04-01,10.710000,11.797000,10.593000,11.168000,8.554418,291942000
2007-05-01,11.120000,15.331000,11.101000,14.955000,11.615708,966378000
2007-06-01,15.101000,16.940001,13.518000,16.587000,12.883296,903324000
2007-07-01,16.549999,17.459999,15.200000,16.080000,12.604246,634946000
2007-08-01,15.082000,15.245000,12.000000,13.699000,10.737909,1040299000
2007-09-01,13.827000,15.223000,12.663000,14.797000,11.598571,551300000
2007-10-01,14.773000,19.478001,14.315000,18.990999,14.886017,901843000
2007-11-01,18.606001,20.643000,17.558001,20.065001,15.880966,805980000
2007-12-01,20.000000,22.718000,19.451000,21.520000,17.032562,687263000
2008-01-01,21.790001,22.028999,16.082001,20.700001,16.383554,996750000
2008-02-01,21.066999,22.225000,18.725000,19.000000,15.152841,664648000
2008-03-01,18.830000,23.035000,18.358000,22.299000,17.783850,806927000
2008-04-01,22.674000,28.296000,21.985001,27.816000,22.183758,601721000
2008-05-01,27.948999,32.029999,27.045000,30.865000,24.779432,661064000
2008-06-01,30.926001,32.000000,26.540001,26.552000,21.316820,752751000
2008-07-01,26.250000,29.096001,23.742001,24.415001,19.601166,1181775000
2008-08-01,24.047001,24.490000,22.100000,24.254999,19.583883,602965000
2008-09-01,24.587999,24.799999,15.060000,17.733000,14.317908,977417000
2008-10-01,17.723000,18.430000,12.002000,14.782000,11.935229,1065174000
2008-11-01,14.904000,17.197001,11.305000,14.530000,11.843703,923097000
2008-12-01,14.097000,15.800000,12.766000,14.293000,11.650519,537040000
2009-01-01,14.410000,16.500000,11.706000,13.578000,11.067710,706521000
2009-02-01,13.361000,16.888000,13.027000,15.803000,13.001722,770188000
2009-03-01,15.477000,17.141001,13.916000,16.747999,13.779208,678176000
2009-04-01,16.339001,18.877001,14.934000,18.344999,15.093115,775671000
2009-05-01,17.551001,18.674999,16.364000,17.632999,14.639808,637985000
2009-06-01,17.750000,17.900000,15.551000,16.731001,13.890923,583356000
2009-07-01,16.747999,20.927000,15.857000,19.403000,16.109358,464971000
2009-08-01,19.621000,21.110001,19.535000,20.263000,16.981583,261539000
2009-09-01,20.169001,22.583000,19.905001,20.215000,16.941357,385096000
2009-10-01,20.207001,23.225000,19.695000,21.902000,18.355160,397158000
2009-11-01,22.100000,24.292999,20.957001,24.086000,20.337435,436636000
2009-12-01,24.195000,25.900000,23.541000,25.598000,21.614126,231522000
2010-01-01,25.799000,26.988001,24.583000,24.990000,21.100746,228582000
2010-02-01,25.113001,25.650999,21.643000,22.437000,19.056702,435621000
2010-03-01,22.594000,25.427999,22.538000,25.400000,21.573307,314342000
2010-04-01,25.555000,26.922001,24.599001,24.804001,21.067097,202729000
2010-05-01,25.118999,25.743999,19.558001,20.177000,17.237120,746103000
2010-06-01,20.100000,23.048000,19.375999,19.952999,17.045752,508842000
2010-07-01,19.955000,21.705000,19.299999,21.004000,17.943613,265453000
2010-08-01,20.747999,21.740999,19.705999,19.836000,17.074158,288984000
2010-09-01,20.099001,22.629999,19.100000,22.400000,19.281160,364873000
2010-10-01,22.500000,24.850000,21.900000,24.006001,20.663555,219994000
2010-11-01,24.261000,25.688999,23.000999,23.702999,20.540718,213071000
2010-12-01,24.191999,26.072001,21.500000,22.410999,19.421095,399285000
2011-01-01,22.643999,24.360001,21.933001,23.650999,20.495655,242925000
2011-02-01,23.031000,25.882999,23.031000,24.056000,20.983299,175690000
2011-03-01,24.250999,26.238001,24.035999,25.172001,21.956755,210035000
2011-04-01,25.201000,27.809999,25.194000,27.589001,24.065033,162673000
