Date,GS,AAPL,AXP,BAC,MSFT,UNH,JPM,INTC
5/1/99,53.884857,1.366002,26.024323,15.254425,25.884752,6.127341,25.823458,17.300385
6/1/99,57.305325,1.435755,27.972456,17.288345,28.932383,6.580487,30.863255,19.049686
7/1/99,51.009659,1.726393,28.4942,15.877847,27.528864,6.409736,27.495981,22.091236
8/1/99,47.440479,2.022845,29.737785,14.472472,29.694281,6.390033,30.073553,26.313375
9/1/99,48.486591,1.96278,29.197115,13.321251,29.052683,5.115969,27.08642,23.801895
10/1/99,56.435223,2.483991,33.306309,15.647137,29.694281,5.4312,31.353779,24.802807
11/1/99,59.830284,3.034267,32.857872,14.231916,29.208067,5.45747,27.99264,24.562588
12/1/99,75.011856,3.187337,36.153851,12.18686,37.453701,5.582249,28.151169,26.374468
1/1/00,72.971062,3.216401,35.82766,11.96608,31.398542,5.569115,29.238264,31.701412
2/1/00,73.76899,3.553542,29.330818,11.363914,28.671719,5.372093,29.098785,36.207306
3/1/00,83.93718,4.210384,32.554874,12.954243,34.085281,6.265254,31.862476,42.287895
4/1/00,74.367126,3.84612,32.677849,12.374043,22.37598,7.0381,26.35792,40.645256
5/1/00,58.741486,2.604123,35.620132,13.999712,20.070211,7.86922,27.508501,39.964165
6/1/00,75.685211,3.247403,34.383316,11.060173,25.664196,9.049931,25.44825,42.859402
7/1/00,78.804443,3.150523,37.392895,12.185479,22.39603,8.634374,27.520014,42.799305
8/1/00,103.532303,3.778303,38.996639,13.781012,22.39603,9.975044,31.085327,48.008957
9/1/00,91.190338,1.596575,40.142712,13.74166,19.348406,10.421932,25.695818,26.657797
10/1/00,79.797798,1.212932,39.647102,12.610183,22.095272,11.54328,25.313334,28.862574
11/1/00,65.737564,1.023048,36.355915,10.478424,18.406046,12.38099,20.656328,24.412933
12/1/00,85.598892,0.922293,36.355915,12.378575,13.914813,12.954857,25.452793,19.290075
1/1/01,91.052048,1.340813,31.169313,14.522389,19.589005,11.906859,30.803833,23.741631
2/1/01,73.522171,1.131553,29.089535,13.680507,18.927351,12.502097,26.329073,18.327576
3/1/01,68.193291,1.368404,27.379162,15.102217,17.543888,12.50843,25.335957,16.893295
4/1/01,73.001297,1.580454,28.134911,15.44702,21.734371,13.85096,27.073923,19.845003
5/1/01,76.300354,1.236958,27.990116,16.343494,22.193119,12.162951,27.962675,17.341105
6/1/01,68.838814,1.441568,25.783857,16.875772,23.418587,13.061954,25.300089,18.79101
7/1/01,66.720673,1.165035,26.8006,17.88501,21.233923,14.261319,24.634449,19.15077
8/1/01,64.356865,1.150154,24.25839,17.289026,18.301785,14.396707,22.583294,17.96228
9/1/01,57.326576,0.961665,19.356085,16.417551,16.415462,14.066717,19.574097,13.139407
10/1/01,62.798111,1.088771,19.602541,16.888948,18.654663,13.908069,20.267647,15.69786
11/1/01,71.614357,1.320662,21.98978,17.57321,20.598732,15.113789,21.832489,20.994759
12/1/01,74.631805,1.357864,23.847321,18.022701,21.253164,14.969944,21.039539,20.232325
1/1/02,69.988976,1.532712,23.954226,18.399784,20.438335,15.727224,19.70829,22.541836
2/1/02,65.21714,1.345463,24.417654,18.66835,18.715624,15.333779,17.08988,18.366699
3/1/02,72.718643,1.467609,27.438883,20.238087,19.347605,16.165087,20.829201,19.574793
4/1/02,63.452553,1.504811,27.472382,21.565077,16.765141,18.604424,20.507847,18.416143
5/1/02,60.888206,1.444668,28.542677,22.555864,16.332054,19.237925,21.208704,17.778881
6/1/02,59.193523,1.098692,24.38649,20.934311,17.547897,19.39683,20.011105,11.768774
7/1/02,59.032085,0.946164,23.674774,20.110193,15.392109,18.572645,14.725155,12.10373
8/1/02,62.489349,0.914543,24.271702,21.192812,15.744993,18.71884,15.745383,10.738121
9/1/02,53.37867,0.899042,20.987005,19.293688,14.031905,18.479429,11.325942,8.958081
10/1/02,57.88147,0.996387,24.480358,21.492336,17.153318,19.269703,12.375636,11.157295
11/1/02,63.861717,0.961045,26.276867,21.578547,18.503889,17.256922,15.274893,13.46614
12/1/02,55.141159,0.888502,23.860451,21.421518,16.585497,17.691257,14.564848,10.052275
1/1/03,55.23671,0.890362,24.043573,21.975197,15.225286,18.623499,14.164313,10.110382
2/1/03,56.425838,0.930663,22.723984,21.721096,15.206044,17.564142,13.961569,11.13691
3/1/03,55.312794,0.876721,22.487135,20.968206,15.583211,19.422256,14.595629,10.524121
4/1/03,61.666279,0.881682,25.620314,23.675354,16.458593,19.545856,18.067554,11.894582
5/1/03,66.31897,1.112952,28.268654,23.72332,15.840671,20.35416,20.516165,13.45898
6/1/03,68.149887,1.181776,28.370453,25.267569,16.503654,21.321589,21.3403,13.466671
7/1/03,70.908409,1.307022,29.971842,26.853392,16.999281,22.102333,21.883488,16.106937
8/1/03,72.218369,1.401886,30.652737,25.773649,17.070078,20.973652,21.579939,18.501305
9/1/03,68.472412,1.2847,30.659538,25.380138,17.893976,21.351288,21.649315,17.823063
10/1/03,76.633598,1.419247,31.931913,25.135199,16.825483,21.588907,22.639389,21.339752
11/1/03,78.640083,1.296481,31.180868,25.035625,16.64155,22.870327,22.540695,21.721859
12/1/03,80.809074,1.325002,32.899868,26.695141,17.716034,24.686375,23.387556,20.769205
1/1/04,81.480217,1.398786,35.4459,27.61372,17.89727,25.832008,24.762928,19.777723
2/1/04,86.868729,1.48311,36.526234,27.769657,17.172316,26.30723,26.363224,18.922329
3/1/04,85.621536,1.676559,35.452732,27.451014,16.136671,27.342562,26.960941,17.64876
4/1/04,79.385597,1.598435,33.543667,27.824532,16.913404,26.111364,24.165211,16.694958
5/1/04,77.245033,1.739802,34.742889,28.737154,16.978132,27.71253,23.868803,18.524717
6/1/04,77.450615,2.017575,35.208866,29.252218,18.486296,26.438385,25.119261,17.935612
7/1/04,72.540047,2.005173,34.511417,29.964399,18.440989,26.714455,24.186279,15.843119
8/1/04,73.951645,2.138481,34.353455,31.709175,17.670721,28.086279,25.870949,13.835108
9/1/04,76.912979,2.402613,35.342442,30.545988,17.950071,31.318344,25.968998,13.057415
10/1/04,81.152916,3.248953,36.448185,31.894306,18.157806,30.749243,25.230381,14.489437
11/1/04,86.650322,4.157295,38.361004,32.948208,17.404749,35.187485,24.818607,14.567547
12/1/04,86.054787,3.992987,38.815456,33.460918,19.333174,37.387493,25.715115,15.251955
1/1/05,89.206177,4.768025,36.735943,33.343708,19.014816,37.757,24.607668,14.63901
2/1/05,90.210091,5.562901,37.379864,33.545059,18.204445,38.716854,24.304571,15.643199
3/1/05,91.196732,5.167323,35.460831,31.711393,17.542091,40.509132,23.007877,15.201481
4/1/05,88.543518,4.471652,36.47715,32.699879,18.362215,40.165527,23.59971,15.391253
5/1/05,81.033585,4.930471,37.27314,33.629177,18.725117,41.29174,24.010963,17.642355
6/1/05,84.790199,4.564655,36.843987,33.113708,18.085545,44.317657,23.722153,17.084583
7/1/05,89.328087,5.288849,38.166035,31.964956,18.64617,44.453629,23.60125,17.819971
8/1/05,92.617065,5.814632,38.332577,31.547047,19.93487,43.773663,22.982948,16.887609
9/1/05,101.280663,6.647953,39.85923,31.227522,18.789103,47.768539,23.010078,16.232168
10/1/05,105.270943,7.141496,39.4571,32.443981,18.767199,49.20499,24.834333,15.474891
11/1/05,107.650558,8.410074,40.863407,34.038738,20.213078,50.87944,26.200836,17.568935
12/1/05,106.607086,8.914781,40.895184,34.60141,19.151787,52.817383,27.187212,16.492756
1/1/06,117.909744,9.363682,41.681953,33.161873,20.61655,50.505451,27.228313,14.047923
2/1/06,118.163902,8.493161,42.916332,34.37648,19.679102,49.493984,28.420885,13.611818
3/1/06,131.269028,7.777645,41.856937,34.144058,19.995647,47.479557,28.766306,12.919479
4/1/06,134.05397,8.728772,42.860565,37.840656,17.746958,42.300358,31.350019,13.264712
5/1/06,126.505424,7.411828,43.396465,36.68845,16.644669,37.384895,29.697962,11.96347
6/1/06,126.069664,7.101815,42.486389,36.839287,17.189098,38.082253,29.252201,12.678811
7/1/06,128.013916,8.427437,41.560329,39.46629,17.749765,40.676056,31.773457,12.011506
8/1/06,124.878929,8.413794,42.0611,39.420334,18.959646,44.179832,32.060852,13.059171
9/1/06,142.117508,9.545972,44.895073,41.472858,20.251202,41.841145,32.973679,13.804964
10/1/06,159.440155,10.054392,46.280025,41.705105,21.258194,41.483978,33.310719,14.321726
11/1/06,163.962616,11.366376,47.1348,41.689621,21.739487,41.739082,32.729252,14.361995
12/1/06,167.792328,10.520654,48.700085,41.764469,22.185307,45.693592,34.157791,13.656239
1/1/07,178.574463,10.63102,46.733467,41.130836,22.928278,44.443447,36.017746,14.135054
2/1/07,170.096313,10.492132,45.762939,39.761898,20.929667,44.375423,35.176258,13.393227
3/1/07,174.210709,11.521381,45.384743,40.35537,20.778574,45.047256,34.456936,12.969965
4/1/07,184.311066,12.375781,48.820778,40.260464,22.321875,45.148499,37.106354,14.576804
5/1/07,194.916504,15.028268,52.429813,40.110184,22.881041,46.603542,37.176079,15.037841
6/1/07,183.034988,15.13367,49.363743,39.098343,22.042641,43.514797,34.751713,16.178867
7/1/07,159.044144,16.339012,47.23362,37.922737,21.683609,41.20887,31.56703,16.097092
8/1/07,148.899139,17.172327,47.413269,40.529831,21.489138,42.55328,32.181644,17.548691
9/1/07,183.355484,19.031176,48.019878,40.201946,22.112391,41.20887,33.121365,17.705997
10/1/07,209.732788,23.554907,49.29784,39.100407,27.629236,41.821518,33.974346,18.418062
11/1/07,192.02916,22.596344,47.822781,37.359196,25.219837,46.799255,33.244667,17.856625
12/1/07,182.209045,24.563074,42.179417,33.415138,26.809368,49.522129,31.809067,18.331032
1/1/08,169.076111,16.785425,39.836098,36.274902,24.550142,43.259518,34.541805,14.508055
2/1/08,143.978256,15.503209,34.417225,32.651527,20.483564,39.549618,29.883036,13.731085
3/1/08,140.37941,17.794838,35.572605,31.147953,21.455233,29.236774,31.573833,14.651525
4/1/08,162.430679,21.570814,39.071281,31.361515,21.561066,27.788956,35.028931,15.398626
5/1/08,150.011108,23.406101,37.859131,28.412495,21.409861,29.134542,31.868248,16.035044
6/1/08,148.727081,20.763536,30.769228,19.941381,20.874075,22.355499,25.427904,14.9478
7/1/08,156.499298,19.710728,30.319986,28.023617,19.515852,23.914,30.111788,15.441882
8/1/08,139.703934,21.022715,32.55204,26.524479,20.70714,25.932386,28.845266,15.915097
9/1/08,109.057152,14.094501,29.065483,29.812363,20.332642,21.623096,34.998009,13.115629
10/1/08,78.810829,13.341786,22.560001,20.999445,17.011156,20.20937,30.913662,11.224964
11/1/08,67.505524,11.491624,19.220324,14.118364,15.403749,17.892921,23.909773,9.66341
12/1/08,72.120445,10.583897,15.295457,12.233025,14.909866,22.65358,23.811602,10.354778
1/1/09,68.992554,11.176645,13.794769,5.847059,13.115162,24.126911,19.265266,9.111641
2/1/09,77.837761,11.074958,10.029792,3.510012,12.386537,16.734688,17.466936,8.998624
3/1/09,91.099884,13.035494,11.335494,6.060326,14.185816,17.824787,20.318209,10.725486
4/1/09,110.416306,15.60365,20.974403,7.957096,15.64532,20.059824,25.225773,11.260686
5/1/09,124.224831,16.841228,20.943275,10.042157,16.131823,22.686712,28.257204,11.217875
6/1/09,127.016724,17.662148,19.586384,11.761886,18.472412,21.30504,26.120686,11.910252
7/1/09,140.679779,20.261314,24.056604,13.190221,18.278131,23.931913,29.597317,13.853314
8/1/09,142.540649,20.859028,28.718464,15.687351,19.156288,23.880749,33.329563,14.62334
9/1/09,159.15712,22.984482,28.786402,15.089824,20.100206,21.356211,33.605659,14.186403
10/1/09,146.914932,23.375105,29.742111,13.010834,21.671022,22.132334,32.033508,13.852945
11/1/09,146.474625,24.790003,35.70932,14.144155,22.98395,24.452177,32.625103,13.918189
12/1/09,146.07811,26.131752,34.590992,13.439179,23.92544,25.995899,31.995502,14.900839
1/1/10,128.670609,23.816572,32.149479,13.55479,22.120043,28.14517,29.899294,14.170401
2/1/10,135.271942,25.374073,32.743999,14.876339,22.504671,28.878647,32.264534,14.995798
3/1/10,147.95787,29.141371,35.37619,15.938938,23.09885,27.863712,34.401676,16.411594
4/1/10,125.906769,32.376675,39.715473,15.930747,24.084637,25.850914,32.733482,16.816547
5/1/10,125.091675,31.854618,34.333401,14.063376,20.34655,24.816116,30.461258,15.771031
6/1/10,114.11245,31.191195,34.187019,12.839308,18.228165,24.244165,28.175516,14.421573
7/1/10,131.107117,31.900509,38.614384,12.552589,20.446281,26.103277,30.999989,15.274263
8/1/10,119.0326,30.145821,34.488258,11.139979,18.592569,27.191977,28.021381,13.101756
9/1/10,125.998314,35.186657,36.356678,11.712176,19.504093,30.098061,29.331512,14.344803
10/1/10,140.42128,37.32328,35.863628,10.245199,21.240265,31.017849,29.000128,14.97986
11/1/10,136.072571,38.584427,37.562683,9.797813,20.117329,31.422239,28.860056,15.80917
12/1/10,146.870438,39.999332,37.301956,11.936332,22.364389,31.069481,32.733776,15.835046
1/1/11,142.905228,42.077667,37.70174,12.296522,22.220154,35.436321,34.67836,16.158823
2/1/11,143.045013,43.80011,38.022587,12.798056,21.298653,36.757103,36.070141,16.166359
3/1/11,138.815079,43.217266,39.445065,11.938285,20.465359,39.018803,35.614349,15.323672
4/1/11,132.171844,43.418163,42.831059,11.00581,20.892557,42.619991,35.251266,17.578934
5/1/11,123.174301,43.132942,45.209373,10.530805,20.159058,42.377575,33.586018,17.092953
6/1/11,116.787315,41.625027,45.296978,9.822777,21.09441,44.654449,31.79954,16.959318
7/1/11,118.437042,48.421799,44.001553,8.709893,22.230259,43.108112,31.418932,17.089418
8/1/11,101.98381,47.721169,43.711372,7.328507,21.581202,41.275391,29.353411,15.405735
9/1/11,83.219154,47.285904,39.481815,5.496421,20.321293,40.059357,23.539001,16.491201
10/1/11,96.421585,50.195084,44.511547,6.134079,21.741907,41.82769,27.165194,18.964113
11/1/11,84.3722,47.395027,42.418705,4.885708,20.88464,42.507545,24.41634,19.250048
12/1/11,79.900955,50.222366,41.650497,5.00333,21.354488,44.172268,26.213858,18.906477
1/1/12,98.491211,56.606174,44.272968,6.41614,24.291142,45.292336,29.406826,20.598314
2/1/12,101.733917,67.265724,46.875557,7.172039,26.109074,48.755508,31.158987,20.956951
3/1/12,110.22113,74.347702,51.280399,8.622465,26.711521,51.54528,36.510963,22.098909
4/1/12,102.050049,72.416931,53.363163,7.307022,26.512798,49.248875,34.128788,22.318956
5/1/12,84.812759,71.641876,49.652428,6.622269,24.169538,48.915577,26.495461,20.307108
6/1/12,85.360634,72.419403,51.76907,7.380008,25.494946,51.310059,28.557552,21.095488
7/1/12,89.848587,75.737808,51.324398,6.62216,24.561493,44.976017,28.773352,20.343487
8/1/12,94.140648,82.493645,52.025311,7.208592,25.686636,47.801872,29.932011,19.654819
9/1/12,101.673729,83.079475,50.740311,7.966443,24.967503,48.77903,32.623798,18.094233
10/1/12,109.463837,74.140106,49.946083,8.419042,23.943966,49.497646,33.590912,17.271765
11/1/12,105.349655,72.889748,50.058716,8.906844,22.333174,48.074577,33.351875,15.626832
12/1/12,114.571571,66.578217,51.47361,10.487673,22.592806,47.942013,35.698185,16.634935
1/1/13,132.804596,56.985012,52.664635,10.236035,23.218744,48.993435,38.198765,16.973772
2/1/13,134.511139,55.22226,55.849957,10.154652,23.514791,47.431606,39.989815,16.844685
3/1/13,132.615952,55.702641,60.621685,11.023591,24.400293,50.768227,38.796337,17.808521
4/1/13,131.64267,55.717735,61.475372,11.141248,28.22963,53.388885,40.063396,19.529034
5/1/13,146.071365,56.592308,68.237152,12.363073,29.764772,55.794182,44.903797,19.798113
6/1/13,136.741791,50.228096,67.380951,11.639028,29.664309,58.333122,43.423183,19.943462
7/1/13,148.295929,57.321556,66.488625,13.223724,27.345446,65.47139,45.841522,19.210911
8/1/13,137.537354,61.715725,65.009918,12.788973,28.685232,64.473839,41.867287,18.091511
9/1/13,143.502457,60.788208,68.273521,12.499139,28.783575,64.356987,42.828419,19.049805
10/1/13,145.906113,66.647102,73.950943,12.662001,30.625797,61.577332,42.704144,20.338078
11/1/13,153.23497,70.901947,77.802773,14.33878,32.978317,67.188385,47.759655,19.814463
12/1/13,161.309479,71.950768,82.27327,14.112189,32.600952,67.928108,48.811333,21.778467
1/1/14,149.351898,64.201897,77.09549,15.191483,32.975685,65.452324,46.207176,20.587196
